Author_Name
"AARON, HENRY, 1934- ."
"ABERNATHY, MABRA GLENN, 1921-1990."
"ABERNATHY, RALPH DAVID, 1926-1990"
"ABERNETHY, CECIL EMORY, 1908-1991."
"ABERNETHY, THOMAS PERKINS, 1890-1975."
"ABERNETHY, THOMAS YOUNG, 1908-1968"
"ACCARDI, JAMES ROY, 1949-"
"ACEE, JOE G., 1906-1996."
"ACKER, MARTHA WALTERS, 1934-"
"ACTON, HUL-CEE MARCUS, 1897-1981"
"ADAMS, BERTHELL TULLIS, 1909-1997"
"ADAMS, EMILY CAMPBELL, 1862-1936"
"ADAMS, FRANK “DOC,” 1928-2014"
"ADAMS, GEORGE IRVING, 1870-1932"
"ADAMS, HENRY WELCH, 1898-1973"
"ADKINS, WALTER ROBERTS, JR, 1921-2011"
"AGEE, RUCKER, 1897-1985"
"AHERN, EMILY MARTIN"
"AIKEN, BOONE"
"AIKEN, ELlZABETH BOONE, 1914-2001"
"AINSWORTH, CHARLES HAROLD, 1935-"
"AKEN, ELIZABETH BOONE"
"AKENS, DAVID STRODE, 1921-2012"
"AKENS, HELEN MORGAN, 1918-2012"
"AKIN, EUGENIA THOMPSON, 1903-1996"
Alabama Authors › Create New Post — WordPress
Alabama Authors › Create New Post — WordPress
Alabama Authors › Create New Post — WordPress
Alabama Authors › Create New Post — WordPress
Alabama Authors › Create New Post — WordPress
"ALARCON, DANIEL, 1977-"
"ALBA, NANIA CHAMPNEY, 1917-1968"
"ALBAUGH, JUNE MIDDLETON, 1924-"
"ALBRITTON, WALTER MATTHEW, JR., 1932-"
"ALDRICH, TRUMAN HEMINWAY, 1848-1932"
"ALDRIDGE, GARET VAN ANTWERP, 1913-2000"
"ALEXANDER, JO"
"ALEXANDER, MARGARET ABIGAIL WALKER, 1915-1998"
"ALEXANDER, MARY JO, 1924-"
"ALEXANDER, PAUL, 1955-"
"ALEXANDER, TRUMAN HUDSON, 1891-1941"
"ALIMAYO, CHIKUKO (Pseudonym)"
"ALLDREDGE, J. HADEN, 1887-1962"
"ALLEN, CATHERINE BRYANT, 1942-"
"ALLEN, LEE NORCROSS, 1926-"
"ALLEN, MEL, 1913-1996"
"ALLEN, MELVIN ALLEN ISRAEL"
"ALLEN, WARD SYKES, 1922-"
"ALLISON, ELIZABETH HARRIET KELLY, 1891-1990"
"ALLISON, HARRISON CLARKE, 1917-2003."
"ALSTON, EDITH EUGENIA, 1941-"
"ALYEA, PAUL EDGAR, 1899-1975"
"AMACHER, RICHARD EARL, 1917-2015"
"AMERINE, WILLIAM HENRY, 1878-1964"
"AMOS, HARRIET E."
"ANDELSON, ROBERT VERNON, 1931-2003"
"ANDERS, MARY EDNA, 1921-2001"
"ANDERSEN, INEZ ELLIOTT, 1899-1989"
"ANDERTON, HENRY LAFAYETTE, 1886-1955."
"ANDREWS, ANDY, 1959-"
"ANDREWS, MARSHALL, 1899-1973"
"ANDREWS, MARY RAYMOND SHIPMAN, 1860-1936"
"ANTHONY, JAMES DANELLY, 1825-1899"
"ARMES, ETHEL MARIE, 1876-1945."
"ARMOUR, ROLLIN STELY, 1929-"
"ARMSTRONG, JOHN LEE, JR., 1954-"
"ARMSTRONG, STEPHEN W., 1950-"
"ARNOLD, BYRON, 1901-1971."
"ARNOLD, EDNA EARLE SMITH, 1911-2002."
"ASKEW, WILLIAM KING, 1897-1992"
"ATCHISON, RAY M., 1921-2013"
"ATKINS, ACE, 1970-"
"ATKINS, LEAH MARIE RAWLS, 1935-"
"ATKINS, OLIVER FRAZER, 1916-1977"
"ATKINS, THOMAS RADCLIFFE, 1939-"
"ATKINSON, CLETTUS, 1919-1998"
"AVERY, BURNIECE, 1908-1993"
"AXFORD, FAYE ACTON, 1925-2004"
"AYERS, HARRY BRANDT, 1935-"
"AYERS, HARRY MELL, 1885-1964"
"AYERS, JAMES W., 1928-"
"BACKUS, OLLIE LUCY, 1908-1999"
"BACON, MARY GORDON PERKINS, 1924-1999"
"BADGER, RODNEY REID, 1942-"
"BADHAM, JOHN, 1939-"
"BAGGOTT, BETTY SUE DEMPSEY, 1935-"
"BAGLEY, EDYTHE SCOTT, 1924-2011"
"BAILEY, DOUGLAS FIELDS"
"BAILEY, HUGH COLEMAN, 1929-2012"
"BAILEY, PAUL CLINTON, 1921-2009"
"BAILEY, WILLIAM FIELDS, 1912-1987"
"BAKER, GLADYS, 1900-1957"
"BAKER, JOHN NEWTON, 1915-"
"BAKER, OLA GRACE, 1908-2005"
"BAKER, ROGER DENIO, 1902-1994"
"BAKLANOFF, ERIC NICHOLAS, 1925-2014"
"BALDWIN, ALEX (Pseudonym)"
"BALL, RICHARD WILLIAM, 1923-1997"
"BALL, TIMOTHY HORTON, 1826-1913"
"BALLARD, JAMES CLARENCE, 1921-1990"
"BANCROFT, BETSY BARBER"
"BANDMAN, LOTTIE COPLAN, 1891- 1971"
"BANDY, WAY, 1941-1986"
"BANISTER, GARY L., 1948-"
"BANKHEAD, TALLULAH BROCKMAN, 1903-1968"
"BAREFIELD, MARILYN DAVIS HAHN, 1926-2005"
"BARKER, LARRY LEE, 1941-"
"BARKER, SAMUEL BOOTH, 1912-2002."
"BARKSDALE, JELKS, 1901-1987"
"BARNARD, HARRY VOLLIE, 1929-"
"BARNARD, WILLIAM DEAN, 1942-"
"BARNES, JOE, 1920-1993"
"BARNETT, ALBERT EDWARD, JR., 1895-1961"
"BARNETT, CORA CHASTANG, 1896-1992"
"BARNEY, HOWARD, 1912-2003"
"BARNWELL, WILLIAM CURTIS, 1943-"
"BARR, JOHN GORMAN, 1823-1858."
"BARRA, ALLEN"
"BARRAX, GERALD WILLIAM, 1933-"
"BARRETT, EDWARD WARE, 1910-1989."
"BARRETT, HENRY CHARLES, 1923-1978"
"BARRETT, LINTON LOMAS, 1904-1972"
"BARTLETT, JERRY FRANK, 1941-"
"BARTON, LEVI ELDER, 1870-1965"
"BARTON, MARLIN, 1961-"
"BARTON, VIRGINIA ANN HOOPER, 1902-1994"
"BASHINSKY, ELIZABETH BURFORD, 1867-1968"
"BASHINSKY, SLOAN YOUNG, II, 1942-"
"BASLER, ROY PRENTICE, 1906-1989"
"BASS, S. JONATHAN"
"BATES, JAMES LEONARD, 1919-1998"
"BATHURST, JAMES ELMER, 1898-1978"
"BATTLE, HERBERT BEMERTON, 1862-1929"
"BAUGHMAN, DOROTHY, 1940-"
"BAXTER, RICHARD DUNCAN, 1918-2001"
"BAYER, SPENCER DROKE, 1892-1985"
"BEALLE, ALFRED BATTLE, 1879-1933"
"BEAN, WILLIAM GLEASON, 1891-1974"
"BEARDEN, BOBBY RAY, 1927-1989"
"BEASLEY, BUCKNER, 1881-1971"
"BEATTY, RICHMOND CROOM, 1905-1961"
"BEAUCHAMP, GEORGE ALLAN, 1855-1937"
"BECK, CHARLIE MAY RANDLETTE"
"BECK, MARTIN LUTHER, 1893-1982"
"BECK, MAY RANDLETTE, 1874-1968"
"BECKWITH, CHARLES MINNIEGRODE, 1851-1928"
"BEDDOW, MARY ELIZABETH RUSSELL, 1865-1935."
"BEE, FANNA MAI KEES, 1899-1990"
"BEECH, WEBB (Pseudonym)"
"BEECHER, JOHN, 1904-1980"
"BEESON, JASPER LUTHER, 1867-1943"
"BEESON, MALCOLM ALFRED, 1879-1971"
"BEIDLER, PHILIP"
"BELL, HELEN NORRIS"
"BELL, ROBERT EUGENE, 1926-1999"
"BELL, WILLIAM STEWART, 1921-1980"
"BELLANTE, DONALD MICHAEL, 1943-"
"BELSER, DANYLU, 1893-1972"
"BENDITT, THEODORE MATTHEW, 1940-"
"BENEFIELD, LARRY D., 1942-"
"BENFORD, GREGORY ALBERT, 1941-"
"BENNERS, ALFRED HATCH, 1849-1935"
"BENNETT, WALTER HARTWELL, 1907-1986"
"BENNETT, WALTER, 1943-"
"BENSKO, JOHN, 1949-"
"BENSON, CARL FREDERICK, 1916-1979."
"BENTON, JEFFREY C."
"BERNEY, WILLIAM CLAIBORNE, 1920-1961"
"BERRY, EVA BELLE, 1905-1957"
"BEST, ADAM (Pseudonym)"
"BETHEA, JACK (ANDREW JACKSON), 1892-1928."
"BETTS, EDWARD CHAMBERS, 1890-1946"
"BEVERLY, JOHN WILLIAM, 1859-1924"
"BEYER, RICHARD GEORGE, 1940-"
"BIDERMAN, ALBERT D., 1923-2003"
"BIDGOOD, LEE, 1884-1963"
"BILBRO, ANNE MATHILDE, 1870-1958"
"BILLINGSLEY, ANDREW, 1926-"
"BIRNEY, HERMAN HOFFMAN, 1891-1958"
"BLACK, HUGO LAFAYETTE, 1886-1971"
"BLACK, HUGO LAFAYETTE, 1886-1971"
