Author_Name,Author_Biography,Source,Publications
"AARON, HENRY, 1934- .",": </strong>Baseball player; sports executive; businessman. Born&#8211; February 5, 1934, Mobile. Parents&#8211; Herbert and Estella Aaron. Education&#8211; Attended public schools. Married&#8211;(1) Barbara Lucas. Children&#8211; Five. Married&#8211;(2) Billye Williams. Children&#8211; One. Played baseball with the Milwaukee Braves. 1954-65;  with the Atlanta Braves in 1966-1974; with the Milwaukee Brewers, 1975-76.  Set the record for career home runs, 1974. Recipient of many baseball honors; Inducted into the Baseball Hall of Fame, 1982; named to National League All-Star Team every year, 1955-74.  Awarded the honorary degree of HHD, Princeton University, 2011.  Presidential Medal of Freedom, 2002.</p>
<p>",":</strong></p>
<p>Marquis Who&#8217;s Who online.</p>
<p>","(s):</strong></p>
<p>&#8220;Aaron, r.f.&#8221; Cleveland; World Publishing Co., 1968.</p>
<p>I had a Hammer; the Hank Aaron Story. New York; Harper/Collins, 1991.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Bad Henry. Radnor, Pa.; Chilton, 1974.</p>
<p>Hitting the Aaron Way. Englewood Cliffs, N.J.; Prentice-Hall, 1974.</p>
<p><strong>Contributor:</strong></p>
<p>How to Hit and Run the Bases. New York; Grossett and Dunlap, 1971.</p>

				</div>

				"
"ABERNATHY, MABRA GLENN, 1921-1990.",":</strong></p>
<p>Political scientist; University professor. Born&#8211; November 25, 1921, Birmingham. Parents&#8211; James Robert and Lynia Esther (Vines) Abernathy. Married&#8211; Nancy Katherine Perry, September 6, 1949. Children&#8211; Three. Education&#8211; Birmingham Southern College, B.S., 1942; University of Alabama, M.A., 1947; University of Wisconsin, Ph.D., 1953. Served with the U.S. Army Air Force, 1942-1946; reached rank of captain.  Taught political science at the University of Alabama, 1948-1949;  at the University of South Carolina 1951-1986.  Director of the Bureau of Governmental Research at USC, 1972-86.  Member Southern Political Science Association; American Political Science Association; American Association of University Professors.  Received the Russell Award for Creative Research, University of South Carolina, 1963; awarded emeritus status, 1986.  Died June 5, 1990.</p>
<p>",":</strong></p>
<p>Who&#8217;s Who in America, 1980.</p>
<p>Contemporary Authors online, updated 2003.</p>
<p>","(s):</strong></p>
<p>The Administration of Criminal Justice in the Courts of South Carolina. Columbia, S.C.; s.n., 1969.</p>
<p>Civil Liberties Under the Constitution. New York; Dodd, 1968.</p>
<p>Organization and Jurisdiction of the Courts of South Carolina. Columbia, S.C.; Bureau of Public Administration, University of South Carolina, 1956.</p>
<p>The Right of Assembly and Association. Columbia, S.C.; University of South Carolina Press, 1961.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>The Judicial System of South Carolina. New York; Institute of Judicial Administration, 1971.</p>
<p><strong>Joint_Editor:</strong></p>
<p>The Carter Years; the President and Policy Making. New York; St. Martins, 1984.</p>

				</div>

				"
"ABERNATHY, RALPH DAVID, 1926-1990","; obituary.</p>
<p>","s;</strong></p>
<p>Dictionary of American Biography; obituary.</p>
<p>","s;</strong></p>
<p>And the Walls Came Tumbling Down.  New York:  Harper and Row, 1989.</p>
<p><strong>Contributor;</strong></p>
<p>Garrow, David.  The Walking City; The Montgomery Bus Boycott, 1955-56.  Carlson, 1989.</p>

				</div>

				"
"ABERNETHY, CECIL EMORY, 1908-1991.",":</strong></p>
<p>University professor. Born&#8211; April 8, 1908, Charleston, S.C. Parents&#8211; William H. and Annie Pierce (Rast) Abernethy. Education&#8211; Birmingham Southern College, A.B., 1930; University of North Carolina, M.A., 1935; Vanderbilt University, Ph.D., 1940. Taught at West End High School in Birmingham, 1931-1935; University of Alabama, 1937-1938; Birmingham Southern College after 1939. Member of the Modern Language Association; the executive committee of the Southern Association of Colleges and Schools; Phi Beta Kappa. Died August 8, 1991.</p>
<p>",":</strong></p>
<p>Who&#8217;s Who in America, 1974.</p>
<p>","(s):</strong></p>
<p>Mr. Pepys of Seething Lane. New York; McGraw, 1957.</p>
<p><strong>Assistant_Editor:</strong></p>
<p>Centennial Edition of the Works of Sidney Lanier, Vol. 5. Baltimore; Johns Hopkins Press, 1945.</p>

				</div>

				"
"ABERNETHY, THOMAS PERKINS, 1890-1975.",":</strong></p>
<p>Historian; University professor. Born&#8211; August 25, 1890, Collirene (Lowndes County).  Parents&#8211; Thomas Hines and Anne (Rast) Abernethy. Married&#8211; Ida Erckman Robertson, December 6, 1917. Education&#8211; College of Charleston, A.B., 1912; Harvard University, M.A., 1915, Ph.D., 1922.  Military service, U.S. Army, World War I. Taught at Marion Institute, 1912-1914 and 1919; Women&#8217;s College of Alabama, 1916-1917; Vanderbilt University, 1921; University of Chattanooga, 1922-1928; University of Alabama, 1928-1930; University of Virginia, Richmond Alumni Professor of History, 1930-1961; University of Texas, 1961-1962; University of Arizona, 1963-1964.  Contributed to many professional journals and anthologies. Member American Historical Society; founder and president, Southern Historical Society; member Virginia Historical Society. Honors; Litt. D., Washington and Lee University, 1947; Phi Beta Kappa Award for best historical work, 1961, for <em>The South in the New Nation. </em> Honored by a festschrift entitled <em>The Old Dominion; Essays for Thomas Perkins Abernethy</em>, edited by Darrett B. Rutman.  Died Charlottesville, Virginia, November 12, 1975.</p>
<p>",":</strong></p>
<p>American Authors and Books; the Dictionary of Alabama Biography; and Contemporary Authors Online.</p>
<p>","(s):</strong></p>
<p>The Antecedents of the Abernethy Family in Scotland, Virginia, Old Alabama. Charlottesville, Va.; s.n., 1966.</p>
<p>The Burr Conspiracy. New York; Oxford University Press, 1954.</p>
<p>The Formative Period in Alabama, 1815-1928. Montgomery, Ala.; Brown Printing Co., 1922.</p>
<p>From Frontier to Plantation in Tennessee; a Study in Frontier Democracy. Chapel Hill, N.C.; University of North Carolina Press, 1932.</p>
<p>Historical Sketches of the University of Virginia. New York; Appleton Century, 1937.</p>
<p>Notes and Suggestions, Commercial Activities of Silas Deane in France. S.l.; s.n., 1934.</p>
<p>The South in the New Nation, 1789-1819. Baton Rouge, La.; Louisiana State University Press, 1961.</p>
<p>Southern Frontiers of the War of 1812.  Tuscaloosa; University of Alabama Press, 1967.</p>
<p>Three Virginia Frontiers. Baton Rouge, La.; Louisiana State University Press, 1940.</p>
<p>Western Lands and the American Revolution. Charlottesville, Va.; University of Virginia, Institute for Research in the Social Sciences, 1937.</p>
<p><strong>Co-author; </strong></p>
<p>The Pursuit of Southern History.  LSU Press, 1964.</p>
<p><strong>Editor;</strong></p>
<p>Jefferson, Thomas.  Notes on the State of Virginia.  New York; Harper and Row, 1964.</p>
<p><strong>Contributor;</strong></p>
<p>Bugg, James L., ed.  Jacksonian Democracy; Myth or Reality.  New York; Holt, 1962.</p>
<p>Jones, Edward T. The American Plutarch. New York; Scribner, 1964.</p>
<p>Wyman, Walker D. and Kroeber, Clifton B., eds., The Frontier in Perspective.  Madison:  University of Wisconsin Press, 1957.</p>
<p><strong>Papers;</strong></p>
<p>The papers of Thomas Perkins Abernethy (including professional and personal material) are held in the Special Collections of the Alderman Library at the University of Virginia.</p>

				</div>

				"
"ABERNETHY, THOMAS YOUNG, 1908-1968",":</strong></p>
<p>Journalist; teacher. Born&#8211; April 19, 1908, Brookwood. Parents: Paul Lee and Addie Lee Abernethy.  Married; Louise Wallis, June 24, 1932.  Education&#8211; Birmingham Southern College. Worked as a schoolteacher and later for the Sylacauga News, Dothan Eagle, Houston Press; editor and part owner of the Talladega Home, 1936-50. Republican candidate for governor of Alabama, 1954. Delegate to Republican National Convention, 1956, 1960, 1964.  Member of Republican National Committee, 1961.  Received a Neiman Travel Grant, 1956. Died March 7, 1968.</p>
<p>",":</strong></p>
<p>Preface to Wood Smoke II.</p>
<p>","(s):</strong></p>
<p>Wood Smoke. Kingsport, Tenn.; Kingsport Press, 1967.</p>
<p>Wood Smoke II. Talladega, Ala.; Brannons, Inc., 1975.</p>

				</div>

				"
"ACCARDI, JAMES ROY, 1949-",":</strong> Attorney; prosecutor. Born&#8211; August 31, 1949, Berea, Ohio. Parents&#8211; Roy R. and Jeanne (Burns) Accardi. Married&#8211; Marian Elizabeth Hollon, June 24, 1989.  Children&#8211;two.  Education&#8211; University of North Alabama, B.S., 1971; University of Alabama, J.D., 1974. Admitted to Alabama Bar, 1974. Employed as assistant district attorney and deputy assistant district attorney in Madison County, Ala., 1974-  until his retirement ; in private practice in Huntsville, 1980-81. Adjunct assistant professor of criminal justice at the University of Alabama in Huntsville after 1979. President of the Board of Directors, Family Services Center, Huntsville, 1991-92.  Author of numerous essays and profiles.</p>
<p>",":</strong> James R. Accardi, Huntsville, Ala.. Marquis Who&#8217;s Who online.</p>
<p>","(s):</strong> The Abridged Significant Historie of the Western World. Huntsville, Ala.; A.M. Press, 1979.</p>
<p>Amber Aspects.  1988</p>

				</div>

				"
"ACEE, JOE G., 1906-1996.",":</strong></p>
<p>Journalist;  teacher; coach; editor; postal employee. Born&#8211; January 28, 1906, Grenada, Miss. Parents&#8211; Joseph Livingston and Sadie (Cornick) Acee. Married&#8211; Chrystel Maddox, May 20, 1934. Children&#8211; One. Education&#8211; Mississippi College, B.A., 1928; University of Alabama, M.A., 1932; attended the University of Virginia and Mississippi State University. Served in the U.S. Navy in WWII. Taught and coached in the school systems of Cullman County, 1928-1929; Cambridge, Md., 1929-1931; Armstrong College (W.Va.), 1932-1933. Edited the Sulligent News, 1934-1952; worked for the U.S. Postal Service, 1950-1968. For ten years he wrote weekly columns for the Birmingham News and for the Birmingham News Herald. Wrote articles for the New York Times, Chicago Tribune, and other newspapers and periodicals.  Died July 2, 1996.</p>
<p>",":</strong></p>
<p>Who&#8217;s Who in America, 1972.</p>
<p>","(s):</strong></p>
<p>Lamar County History and Events. Vernon, Ala.; Lamar County Department of Education, 1971.</p>
<p>You Are There With The True Adventures of Rube Burrows. Vernon, Ala.; The Lamar Democrat, 1973.</p>
<p>Lamar County History; 3rd Rev. Bicentennnial Edition. Vernon, Ala.; Lamar Democrat, 1976.</p>
<p>Alabama&#8217;s Most Famous Train Robber. Rev. Ed. Vernon, Ala.; Lamar Democrat, 1984.</p>

				</div>

				"
"ACKER, MARTHA WALTERS, 1934-",":</strong></p>
<p>Genealogist; historian. Born&#8211; December 10, 1934, Atlanta, Ga. Parents&#8211; Harold Lee and Agnes (Stoner) Walters. Married&#8211; William Marsh Acker, Jr., April 13, 1957. Children&#8211; Two.  Education&#8211; Duke University, B.A., 1956.</p>
<p>",":</strong></p>
<p>Martha Walters Ackers.</p>
<p>","(s):</strong></p>
<p>Deeds of Franklin County, Georgia, 1784-1826. Birmingham, Ala.; Author, 1976.</p>
<p>Index to Deeds of Franklin County, Georgia, 1784-1860. Birmingham, Ala.; Author, 1976.</p>
<p>Franklin County, Georgia, Court of Ordinary Records, 1787-1849.  Birmingham, Ala., Author, 1989.</p>
<p>Franklin County, Georgia, Marriages, December 1805-December 1850. Birmingham, Ala., Author, 1987.</p>
<p>Franklin County, Georgia, Tax Digest, Vol. 1, 1798-1807. Birmingham, Ala.; Author, 1980.</p>
<p>Franklin County, Georgia, Tax Digest, Vol. 2, 1808-1818. Birmingham, Ala.; Author, 1981.</p>
<p>Franklin County, Georgia, Tax Digest, Vol. 3, 1819-1982. Birmingham, Ala.; Author, 1982.</p>
<p>Sewell:  Maryland to NC, GA, and beyond.  Birmingham, Ala., Author, 1992.</p>
<p><strong>Indexer:</strong></p>
<p>History of Furman, Snow Hill, and Ackerville (Wilcox Co., Alabama). S.l.; s.n., 1977.</p>

				</div>

				"
"ACTON, HUL-CEE MARCUS, 1897-1981",":</strong></p>
<p>Linguist; college professor of French. Born&#8211; April 21, 1897, Louisville, Ky. Parents&#8211; J. W. and Hattie (Gooch) Acton. Married&#8211; Virginia Franklin, July 18, 1927. Children&#8211; One. Education&#8211; Georgetown  College (Kentucky), A.B., 1917; University of Wisconsin, M.A., 1920, Ph.D., 1925; further study at the Sorbonne, Paris. Taught at Georgetown College, Kentucky, 1917-1918; University of Wisconsin, 1920-1925; Samford University, 1926-1967. Head of the language department at Samford, 1937-67.  Member of the American Association of Teachers of French, South Atlantic Modern Language Association, and Modern French Drama Association. Awarded the status of  &#8220;Officier d&#8217;Academie avec Palmes Academiques&#8221; by the French government in 1950, in recognition of his services in teaching the French language and culture.  Died January 17, 1981.</p>
<p>",":</strong></p>
<p>Sulzby, James F., Jr.  Toward a History of Samford University.  Samford University Press, 1986.</p>
<p>Directory of American Scholars, 6th ed.; Who&#8217;s Who in Alabama, Vol. 2.</p>
<p>","(s):</strong></p>
<p>Chalk, Termites, and God&#8217;s Country. Birmingham, Ala.; Banner Press, 1967.</p>
<p>History of the Tau Theta Kappa Society of Georgetown College.  Georgetown, KY:  Tau Theta Kappa, 1918.</p>
<p>The Pierian Club of Birmingham, with Biographies of Members and Memories of East Lake. Birmingham, Ala.; Banner Press, 1962.</p>
<p>The Soldier in Modern French Drama. Madison; University of Wisconsin, 1926.</p>
<p><strong>Editor:</strong></p>
<p>La Nez d&#8217;un Notaire. Englewood Cliffs, N.J.; Prentice-Hall, 1929.</p>
<p><strong>Papers; </strong>Three folders of the papers of Hul-Cee Marcus Acton are held by the library at Samford University.</p>

				</div>

				"
