Name,PortraitURL,Biography
"James Agee (November 27, 1909&ndash;May 16, 1955)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/ageejam.jpg,"James Agee was born in Knoxville, Tenn., and spent his early childhood there. His father died in an automobile accident when Agee was a child. Agee attended St. Andrews School in Sewanee, Tenn., where he met his lifelong mentor, Father James Harold Flye. He also attended Phillips Exeter Academy, in Exeter, N.H., where he began writing poetry and short stories. Upon his graduation from Harvard in 1932, he moved to New York City to work for <em>Fortune</em> magazine. In 1936, <em>Fortune</em> sent Agee and photographer Walker Evans to Alabama to gather material for a story about tenant farmers. Although <em>Fortune</em> decided not to publish the article, Agee and Walker turned their material into a book, which was published in 1941 as <em>Let Us Now Praise Famous Men</em>. </p>
<p>In 1939, Agee began to work for <em>Time</em> magazine, first writing book reviews, then movie reviews. In 1942, he also became the movie columnist for <em>The Nation</em>. Agee believed that film was the most important art form because it came the closest to portraying reality, both physical and psychological. In 1948, he resigned both magazine jobs to write novels and film scripts, including the scripts for <em>The African Queen</em> and <em>The Night of the Hunter</em>. In 1951, Agee suffered the first of many heart attacks, but he continued to write. He died in New York City in 1955, leaving an unfinished manuscript for a semi-autobiographical novel. His editors assembled the pieces of the manuscript and published it in 1957. This novel, <em>A Death in the Family</em>, won the Pulitzer Prize for Fiction in 1958."
"Mary Raymond Shipman Andrews (April 2, 1860?&ndash;August 2, 1936)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/andremr.jpg,"Mary Raymond Shipman Andrews was born in Mobile, Ala. She grew up in Lexington, Ky., then moved with her family to New York City. After her graduation from high school, Andrews studied privately, first with her father, an Episcopal clergyman, then with a lawyer whom she later married. After their marriage, Andrews and her husband lived in Syracuse, N.Y., and spent their summers in rural Canada. Andrews wrote articles and short stories that were published in popular magazines such as <em>Scribner’s Magazine</em>, <em>Collier’s</em>, and <em>Ladies' Home Journal</em>. Her first book, <em>Vive L’Empereur</em>, was published in 1902. Her most famous work, <em>The Perfect Tribute</em>, a fictional story about Abraham Lincoln and the Gettysburg Address, was first published in 1906. It has been reprinted extensively, and ABC-TV broadcast a television version in 1991. Andrews died in Syracuse from complications following an operation."
"Ace Atkins (June 28, 1970&ndash;present)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/atkinac1.jpg,"Ace Atkins was born in Troy, Ala., and grew up in Auburn, Ala. He attended Auburn University on a football scholarship and wrote fiction in his free time. After graduating in 1994, Atkins moved to Florida and worked in a bookstore and as a correspondent for the <em>St. Petersburg Times</em>. In 1996, he became a crime reporter for the Tampa Tribune. Atkins continued to write fiction in his off-hours. <em>Crossroad Blues</em>, published in 1998, was the first of his “Nick Travers” mystery novels. In 2001, Atkins left the <em>Tribune</em>. He and his wife moved to Oxford, Miss., where Atkins wrote full time and taught some journalism classes at the University of Mississippi. In the mid-2000s, he began writing novels based on real-life crimes. The first, <em>White Shadow</em>, based on the unsolved murder of a Tampa gangster, was published in 2006. Atkins lives with his family on a farm outside of Oxford."
"Joseph Glover Baldwin (January 21, 1815&ndash;September 30, 1864)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/baldwjg.jpg,"Joseph Glover Baldwin was born in Friendly Grove Factory in the Shenandoah Valley in Virginia. He had little formal education but did well in English composition and developed a love for the great English writers. At age fourteen, Baldwin began working as a courthouse clerk, and, in his late teens, he studied law with an uncle and a cousin. He could not get a license to practice, however, until he reached twenty-one. While waiting, Baldwin moved to Lexington, Va., to help his brother Cornelius publish a local newspaper. From there, he moved to Buchanan, Va., to start a newspaper with another man, but the paper soon failed. After turning twenty-one and obtaining his license to practice law, Baldwin decided that he might prosper financially in the Southwest. In 1836, he moved to DeKalb, Miss., to practice law. The practice was successful, but, in 1837, Baldwin moved to Gainesville, Ala., thinking that there was more financial opportunity in that state. He prospered as a lawyer and entered politics. Baldwin served a two-year term in the Alabama House of Representatives and was a delegate to the Whig National Convention in 1848. He also ran unsuccessfully for the United States Congress in 1848. </p>
<p>In 1850, Baldwin moved his family to Livingston, Ala., where he practiced law and began writing a series of humorous sketches of the characters he had encountered in his early days of legal practice. These were published in the <em>Southern Literary Messenger</em>, whose publisher urged him to collect them in book form. <em>The Flush Times of Alabama and Mississippi</em> was published in 1853 and was an immediate success. Baldwin spent a brief time working in Mobile but soon returned to Livingston and began working on his second book, a collection of political portraits. Still seeking financial success, Baldwin left Alabama for San Francisco shortly before this book was published. His success as a lawyer there led to his election to the California Supreme Court, where he became an expert on land, mineral, and water rights and established a reputation for excellent legal writing. Early in 1864, Baldwin began writing another book, a serious look at the California boom years. The work was never finished, however. Later that year, Baldwin developed tetanus following minor surgery and died a few weeks later."
"John Gorman Barr (November 22, 1823&ndash;May 18, 1858)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/barrjoh.jpg,"John Gorman Barr was born in Milton, N.C., but his family soon moved to Raleigh. His father died when Barr was three, and his mother died shortly after moving the family to Tuscaloosa, Ala., in 1835. Barr was apprenticed to a Tuscaloosa printer, but, in 1838, a local merchant arranged for him to enter the University of Alabama as a scholarship student. Barr earned an AB in 1841 and an MA in 1842. From 1842-1845, Barr was a mathematics tutor at the University. He also studied law privately and was admitted to the bar. Barr began practicing law in 1845. He began writing for the <em>Tuscaloosa Observer</em> during this time. He ran for the Alabama House of Representatives in 1847 but was unsuccessful. When the Mexican War broke out, Barr recruited a company of soldiers from Alabama. He served as captain of this company from November 1847 through July 1848. </p>
<p>After his return from Mexico, Barr resumed his law practice and became editor of the <em>Tuscaloosa Observer</em>. He also wrote for the paper, and some of his stories were reprinted in larger newspapers. In October of 1855, one of his stories appeared in the national weekly <em>The Spirit of the Times</em> under the pen name, “Omega.” Barr’s stories were published nationally for several years. In 1857, Barr again ran for office, this time for the US House of Representatives. The four-way race was acrimonious, and Barr eventually withdrew. In 1858, President James Buchanan appointed Barr to serve as US Consul in Melbourne, Australia. Barr set sail for Australia but died of sunstroke before reaching his post."
"Gerald W. Barrax (June 21, 1933&ndash;present)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/barrage.jpg,"Gerald Barrax was born and spent his early childhood in Atalla, Ala. When he was ten, his family moved to Pittsburgh, Pa. Barrax began writing poems in his teens. After graduating from high school, he worked for a year in a steel mill to earn money for college. In 1952, Barrax enrolled at Duquesne University in Pittsburgh to study pharmacy. When his money ran out a year later, he joined the US Air Force, serving from 1953 to 1957. While stationed in South Carolina, Barrax bought a copy of <em>Poets’ Handbook</em> by <a href=""http://media.cla.auburn.edu/goodlyland/author.cfm?AuthorID=102"">Clement Wood</a> and began studying it to improve his poetry. From 1958 to 1967, Barrax worked for the US Post Office in Pittsburgh as a clerk and a mail carrier. He re-enrolled at Duquesne in 1959 and graduated in 1963 with a BA in English. In 1967, Barrax began graduate studies at the University of Pittsburgh, earning an MA in 1969. </p>
<p>After graduation, Barrax and his family moved to North Carolina, where he became an English instructor at North Carolina Central University in Durham. In 1970, his first book of poetry, <em>Another Kind of Rain</em>, was published. The same year, Barrax joined the faculty of North Carolina State University in Raleigh, teaching American literature and poetry writing. After his retirement from North Carolina State in 1997, Barrax and his wife relocated to West Chester, Pa. Barrax has published a total of five books of poetry and written many poetry reviews. For more than twelve years, he edited the journal <em>Obsidian II: Black Literature in Review</em>. Barrax has received fellowships from the Ford Foundation and the Woodrow Wilson Foundation and has won awards from the city of Raleigh and the state of North Carolina for his contributions to fine arts."
"Marlin Barton (October 25, 1961&ndash;present)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/bartoma.jpg,"Marlin Barton was born in Montgomery, Ala., and grew up in Forkland, Ala. Barton had dyslexia as a child. To overcome it, he did special exercises every day while his mother read to him. He also enjoyed listening to stories told by his father and grandparents and by customers of his grandfather’s store. Barton attended the University of Alabama, graduating in 1985 with a BS in Education. He began writing fiction while taking writing classes at the University. In 1990, he earned an MFA in Creative Writing from Wichita State University in Kansas. </p>
<p>During the 1990s, Barton taught writing at Auburn University at Montgomery, Huntingdon College, and Clemson University. In 1997, he joined the “Writing Our Stories” program of the Alabama Writers’ Forum and the Alabama Department of Youth Services, teaching writing classes to juvenile offenders. In 2000, he became assistant director of that program. Barton began publishing his short stories in the 1990s and won several awards. His first collection of stories, <em>The Dry Well</em>, was published in 2001. Since then, he has published a novel and a second story collection."
"William Bartram (February 9, 1739&ndash;July 22, 1823)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/bartrwi.jpg,"William Bartram was born near Philadelphia, the son of John Bartram, who was one of America’s first professional botanists. Bartram grew up on his father’s estate, a botanical garden and experimental farm. He was educated classically and had a talent for drawing and painting. As a youth, he accompanied his father on several plant-hunting expeditions, drawing the plants they encountered. After several failures at business, Bartram persuaded one of his father’s professional contacts in England to finance his own expedition in Florida to search for interesting plant specimens to send to Europe. </p>
<p>Bartram's trip lasted four years (1773-1777) and eventually included most of the Southeast. He developed an eye ailment while in Mobile, which probably contributed to his concluding the trip and returning home to Pennsylvania. His <em>Travels</em>, the story of his expedition, was first published in 1791, fourteen years after his return. Bartram spent the rest of his life at his father’s (later his brother’s) estate, working with plants. Pleading ill health, he turned down the offer of a botany professorship at the college that later became the University of Pennsylvania. At age sixty-six, he turned down an offer by President Thomas Jefferson to join what we now call the Lewis and Clark Expedition. Bartram died at age eighty-four while working in the garden."
"John Beecher (January 22, 1904&ndash;May 11, 1980)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/beechj2.jpg,"John Beecher, a descendant of the Rev. Lyman Beecher and  related to Henry Ward Beecher and Harriet Beecher Stowe, was born in New York. His father, an executive with the Tennessee Coal, Iron, and Railroad Company, moved the family to Birmingham, Ala., when Beecher was about three. Beecher graduated from high school at age fourteen, and for the next sixteen years alternated between working in the steel mills and taking classes. His experiences in the steel mills inspired him to begin writing poetry. Beecher graduated with an AB in English from the University of Alabama in 1926, completed an MA in English at the University of Wisconsin in 1930, and, in 1933, began graduate studies in sociology at the University of North Carolina at Chapel Hill. From 1934 through 1942, Beecher worked for various New Deal government agencies. He also took time off to write, including periods writing for the <em>Birmingham Age-Herald and News</em> and the <em>New York Post</em>. In 1943, Beecher joined the United States Merchant Marine and served two years on the <em>SS Booker T. Washington</em>, the first U.S. ship to have a racially integrated crew. His book <em>All Brave Sailors</em> is about that experience. In 1948, Beecher became an assistant professor of sociology at San Francisco State College but was fired in 1950 for refusing to sign a mandatory loyalty oath. He was awarded a Ford Foundation fellowship to study small farmers in California and, when this ended, he bought and ran a small ranch in Sonoma County. </p>
<p>In 1956, Beecher and his wife Barbara, a graphic artist, started Morning Star Press at the ranch, then moved it to Arizona in 1958 and renamed it Rampart Press. The press printed Beecher's poetry and that of other blacklisted poets. In 1964, Beecher and his wife moved to the Southeast and began actively participating in civil rights activities. He was publicly denounced by Alabama Gov. George C. Wallace for his participation in the Selma to Montgomery March. In 1966, he published <em>To Live and Die in Dixie</em>, a collection of poems about his life in the segregated South. In the late 1960s, the Beechers began traveling around the country, he giving lectures and poetry readings and she selling copies of his books. He also served as poet-in-residence for several institutions (while maintaining a residence in Burnsville, N.C.) and received a fellowship from the National Endowment for the Arts. In 1977, Beecher was rehired by San Francisco State College, ten years after the loyalty oath law was determined by the courts to be unconstitutional. He taught there briefly before his death from lung disease in 1980."
"John Bensko (November 28, 1949&ndash;present)",https://apps.lib.ua.edu/blogs/this-goodly-land/wp-content/themes/this-goodly-land/images/johnbensk1.jpg,"John Bensko was born in Birmingham. His father’s career as a geologist took the family to Manchester, Kentucky and Tulsa, Oklahoma, before they returned to Alabama and settled in Decatur. Bensko attended St. Louis University, Auburn University, and the University of Alabama, where he earned a B.A. and an MFA. He studied at Florida State University for his Ph.D., writing his dissertation on “Narrative in the Modern Short Poem.” 
His debut volume poetry, Green Soldiers, was chosen by Richard Hugo for the Yale Younger Poets Series.
Bensko taught at Old Dominion University and later at Rhodes College, where he established the creative writing program. Currently he is Professor of English at the University of Memphis, where he has developed the MFA and the undergraduate creative writing programs. Through the Study Abroad Office, he has launched a summer program in creative writing at the Universidad de Alicante.
He is married to the fiction writer Cary Holladay and has a son, Thomas Bensko, from a previous marriage."
